Porcentagem 0,Porcentagem 10,Porcentagem 20,Porcentagem 30
0.7367320261437909,0.7367320261437909,0.6370633660571741,0.6370633660571741
0.7333333333333333,0.7333333333333333,0.6416666666666667,0.6416666666666667
0.7563492063492063,0.7563492063492063,0.6426334776334777,0.6426334776334777
0.7333333333333333,0.7333333333333333,0.6416666666666667,0.6416666666666667
0.001187276840209961,0.001020050048828125,0.0009853363037109375,0.0007902145385742188
0.09647972086002982,0.09647972086002982,0.06125674806024202,0.06125674806024202
0.10069204977995476,0.10069204977995476,0.062360956446232386,0.062360956446232386
0.07672026089824462,0.07672026089824462,0.06226749949592695,0.06226749949592695
0.10069204977995476,0.10069204977995476,0.062360956446232386,0.062360956446232386
0.00025777943787595265,8.578413124468675e-05,1.0761529066552569e-05,0.0003952373623780421
