Porcentagem 0,Porcentagem 10,Porcentagem 20,Porcentagem 30,Porcentagem 40,Porcentagem 50,Porcentagem 60,Porcentagem 70,Porcentagem 80,Porcentagem 90
0.9665359477124185,0.9665359477124185,0.9665359477124185,0.5850211516878183,0.5850211516878183,0.9498692810457516,0.9498692810457516,0.9498692810457516,0.4239430744693903,0.4239430744693903
0.9666666666666668,0.9666666666666668,0.9666666666666668,0.6166666666666667,0.6166666666666667,0.95,0.95,0.95,0.4416666666666667,0.4416666666666667
0.9703703703703702,0.9703703703703702,0.9703703703703702,0.6142251461988304,0.6142251461988304,0.9515873015873015,0.9515873015873015,0.9515873015873015,0.4308313908313909,0.4308313908313909
0.9666666666666668,0.9666666666666668,0.9666666666666668,0.6166666666666667,0.6166666666666667,0.95,0.95,0.95,0.4416666666666667,0.4416666666666667
0.0009944438934326172,0.001395273208618164,0.0011935234069824219,0.0016420841217041015,0.0011008739471435546,0.0010120391845703125,0.0010001182556152344,0.000801849365234375,0.0012748241424560547,0.0009913921356201171
0.016732026143790834,0.016732026143790834,0.016732026143790834,0.30854676245112905,0.30854676245112905,0.048737138221025135,0.048737138221025135,0.048737138221025135,0.3405522156137833,0.3405522156137833
0.016666666666666653,0.016666666666666653,0.016666666666666653,0.2830881291910505,0.2830881291910505,0.048591265790377515,0.048591265790377515,0.048591265790377515,0.3265986323710904,0.3265986323710904
0.014814814814814836,0.014814814814814836,0.014814814814814836,0.2852168233687255,0.2852168233687255,0.047762863369672,0.047762863369672,0.047762863369672,0.35240990084320656,0.35240990084320656
0.016666666666666653,0.016666666666666653,0.016666666666666653,0.2830881291910505,0.2830881291910505,0.048591265790377515,0.048591265790377515,0.048591265790377515,0.3265986323710904,0.3265986323710904
1.612034037060229e-05,0.0005773541554783344,0.0003940959734162766,0.000328413249254257,0.00020192511611125303,4.1910812596286826e-05,2.6386119251496503e-05,0.0004013732812763595,0.00021516771521937157,1.4125490970173526e-05
