Porcentagem 0,Porcentagem 10,Porcentagem 20,Porcentagem 30,Porcentagem 40,Porcentagem 50,Porcentagem 60,Porcentagem 70,Porcentagem 80,Porcentagem 90
0.972557480658167,0.8259995443153338,0.8674170274170274,0.8459540540822005,0.6494975974953092,0.7419937034742528,0.39527307161860936,0.5577527448397013,0.4343848852672382,0.3990033873934803
0.9716748768472907,0.8502463054187193,0.8588669950738916,0.8517241379310345,0.6532019704433498,0.7320197044334976,0.4093596059113301,0.5497536945812808,0.4352216748768473,0.4295566502463054
0.9706060606060607,0.8210547785547785,0.8846814296814298,0.8768056018056019,0.7337373737373737,0.76495818995819,0.39921884158726273,0.5707026307026306,0.4303957153957154,0.40506613756613746
0.9772727272727273,0.8452621452621454,0.8762049062049062,0.8518975468975469,0.6501226551226551,0.7472871572871573,0.4094179894179894,0.5731697931697932,0.4476671476671477,0.4170731120731121
0.001181793212890625,0.0018724441528320313,0.0011792659759521484,0.0014816761016845704,0.0011779308319091798,0.0012783050537109376,0.0011781692504882813,0.0011775493621826172,0.0013862133026123046,0.001172637939453125
0.013890102124199845,0.21778659019694807,0.038556976955174516,0.049892379363050715,0.20097225111474987,0.08891924108698959,0.18476851192409705,0.11707755716351442,0.1126041000811409,0.16506680967693896
0.014170590998662578,0.16829095985616008,0.038972335973041346,0.04262293743175974,0.19883057367964072,0.0949046452941867,0.1816735812013682,0.12714847785905212,0.08583522977418734,0.14852318865091851
0.015372629010073672,0.23839254231781765,0.03474819145032606,0.023435551804675474,0.12802373820158452,0.07661606388505361,0.17471560707058115,0.12462329728707959,0.12222089862114245,0.17031034098051107
0.011405646253167893,0.18415539212589727,0.04112469050536729,0.04163152694511024,0.2096140994557476,0.10557418120112383,0.1938606514648535,0.11556746783225583,0.09991557526879571,0.17007525829067596
0.00038675912987874527,0.0004938954802728959,0.00038854783755134647,0.0004313780189111751,0.00038832005057903407,0.0003946166326489465,0.00040202153533564324,0.00038827678909177674,0.0003757066934276614,0.00039095880055023326
