Porcentagem 0,Porcentagem 10,Porcentagem 20,Porcentagem 30
0.7646274331104053,0.7646274331104053,0.7189111542052717,0.7189111542052717
0.7666666666666666,0.7666666666666666,0.7250000000000001,0.7250000000000001
0.7955988455988455,0.7955988455988455,0.7303703703703703,0.7303703703703703
0.7666666666666666,0.7666666666666666,0.7250000000000001,0.7250000000000001
0.0009928703308105468,0.0007909774780273437,0.0010909080505371095,0.0007944107055664062
0.03632843374945225,0.03632843374945225,0.0906180179439911,0.0906180179439911
0.033333333333333305,0.033333333333333305,0.08579691784155832,0.08579691784155832
0.039384468007783106,0.039384468007783106,0.09855506144878717,0.09855506144878717
0.033333333333333305,0.033333333333333305,0.08579691784155832,0.08579691784155832
0.0006385125815900865,0.00039555895903839043,0.0002062865334189283,0.0003973503523604527
