Porcentagem 0,Porcentagem 10,Porcentagem 20,Porcentagem 30,Porcentagem 40,Porcentagem 50,Porcentagem 60,Porcentagem 70,Porcentagem 80,Porcentagem 90
0.876084165583135,0.5198144846478499,0.4779463209230144,0.4819870113414278,0.5113382785154084,0.544184447162382,0.4748653170119682,0.5345871567741081,0.41326629655257285,0.46765543832345724
0.8764524948735474,0.5538961038961039,0.5197197539302802,0.5170198222829802,0.5457963089542037,0.5669172932330828,0.4958646616541354,0.5459671907040328,0.4252904989747095,0.4777511961722488
0.8866904251579175,0.6557715491752798,0.6165035352850817,0.6036658793769766,0.6381765630276345,0.6508140307405013,0.5404793312096607,0.5733154990471246,0.43289870446746165,0.4835908210338221
0.8878787878787879,0.5948741864610538,0.5625274634166564,0.5587924387513992,0.5878974422750073,0.6017472951125482,0.5235501388716163,0.5614911080711354,0.42888529619035776,0.48543298926335854
0.006454563140869141,0.0065387248992919925,0.006641387939453125,0.006438064575195313,0.006361055374145508,0.006527233123779297,0.006260728836059571,0.006594419479370117,0.005959892272949218,0.006201982498168945
0.06404717828880721,0.08939525010648723,0.05254160122901917,0.03655240475599321,0.0769629694382312,0.02567356942334695,0.055910118914147725,0.10960998785260244,0.06828323181889648,0.06245367692474855
0.06385666022773537,0.07333129825526266,0.031144501002758312,0.030982816944182624,0.05891104644401543,0.014589178881152035,0.05392345753931694,0.10722929879466424,0.07041418001893054,0.06133273329502976
0.05047973673982066,0.07679353131909797,0.02518007386464278,0.058553262716700825,0.07420936308317337,0.027524729525496415,0.0685064006381946,0.11874013252708362,0.09014543416303404,0.05573403795782106
0.05813308525526074,0.06848110454553231,0.021463330641371278,0.02987890069951513,0.05427594358207832,0.005674158236996784,0.06025981123010888,0.11331378918432679,0.08388671369666637,0.05433309949967725
0.0003843938572189104,0.0005998750671384343,0.0005004781819769658,0.0005188858699007965,0.00039513822278225695,0.0006896416114985368,0.00042559730791987303,0.0006005786439127599,0.0002538994036121698,0.0007150263259462829
