Porcentagem 0,Porcentagem 10,Porcentagem 20,Porcentagem 30,Porcentagem 40,Porcentagem 50,Porcentagem 60,Porcentagem 70,Porcentagem 80,Porcentagem 90
0.8463153408338513,0.7563453743167564,0.7407180325028808,0.7008054216617846,0.6286809427616233,0.6555583676565966,0.5739956600854221,0.6531519341834718,0.6328728073875638,0.576791171254215
0.9033766233766235,0.850909090909091,0.8472727272727273,0.8348051948051948,0.8197402597402597,0.8306493506493506,0.7974025974025973,0.7683116883116884,0.7693506493506493,0.7994805194805196
0.8288430269690302,0.7505332629010324,0.7420468719777057,0.7104482778111958,0.6756655496642484,0.6987563771627069,0.6118780005187278,0.645772166665836,0.6261645284542543,0.6161147667756153
0.8697716015410016,0.7653091175931022,0.7415703540634746,0.6965923683727757,0.6115162355531095,0.6396853788295725,0.5741194276279582,0.6719455145844799,0.643125114657861,0.5685883324160705
0.024042654037475585,0.02421989440917969,0.026743650436401367,0.024446439743041993,0.022794103622436522,0.021182441711425783,0.021676397323608397,0.019633769989013672,0.01896815299987793,0.01936683654785156
0.022472291533825167,0.03350561254346339,0.021108370146482498,0.08053251274085568,0.04910092112959035,0.058648290080164846,0.04837852969759224,0.066370290461896,0.022752346175876584,0.023383472355691944
0.01570515995618803,0.024891737248230503,0.013486498686490545,0.03578764602524638,0.02315042073263083,0.016212453542158122,0.00837637168654395,0.058181818181818175,0.013284895431214987,0.00991105663809814
0.02644931583142,0.039067745191961885,0.023207695909102904,0.07279612634279348,0.059934172088325625,0.04454604105987887,0.0224286295220314,0.06300453464402905,0.02120099387118449,0.025933533673147144
0.0198232797798974,0.02829948745646496,0.025029117624675103,0.08571237884543488,0.04188827380939412,0.053593980942337804,0.04458072070424175,0.06223768510477618,0.025692309157417433,0.019259446470453842
0.0009412404293059524,0.002634198844326602,0.008145037557127052,0.004447391867764922,0.0026546165994070143,0.001403386581262487,0.004306304040569489,0.001188461446868602,0.0008407911208737587,0.001580878652056936
