Porcentagem 0,Porcentagem 10,Porcentagem 20,Porcentagem 30
0.9251058201058202,0.696963896669779,0.9337441643323997,0.7711740890688259
0.925,0.7166666666666667,0.9333333333333333,0.775
0.9316666666666666,0.688068783068783,0.9451851851851851,0.786127946127946
0.925,0.7166666666666667,0.9333333333333333,0.775
0.0009826183319091796,0.0011765003204345704,0.0010824203491210938,0.0010926246643066407
0.04108495419237234,0.27148278869142634,0.019977218294988528,0.032163224522817876
0.04082482904638631,0.24916527312876757,0.020412414523193187,0.033333333333333305
0.03666666666666669,0.2884424472567598,0.014515494772048483,0.04010279138444789
0.04082482904638631,0.24916527312876757,0.020412414523193187,0.033333333333333305
1.0801808889739207e-05,0.00038882825226049155,0.0002104044163193301,0.00020545597901900663
