Porcentagem 0,Porcentagem 10,Porcentagem 20,Porcentagem 30,Porcentagem 40,Porcentagem 50,Porcentagem 60,Porcentagem 70,Porcentagem 80,Porcentagem 90
0.9316028633675693,0.9316028633675693,0.9316028633675693,0.7336921237230836,0.7336921237230836,0.8991954559601618,0.8991954559601618,0.8991954559601618,0.5850285026291219,0.5850285026291219
0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7416666666666666,0.7416666666666666,0.9,0.9,0.9,0.5833333333333334,0.5833333333333334
0.9422222222222223,0.9422222222222223,0.9422222222222223,0.7477441077441077,0.7477441077441077,0.9112962962962963,0.9112962962962963,0.9112962962962963,0.6018686868686869,0.6018686868686869
0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7416666666666666,0.7416666666666666,0.9,0.9,0.9,0.5833333333333334,0.5833333333333334
0.0010776042938232422,0.0007898330688476563,0.0010119438171386718,0.0010143280029296874,0.0009062767028808593,0.000993490219116211,0.0010880470275878907,0.0008072376251220704,0.0009850502014160157,0.0005967140197753907
0.021706505607339437,0.021706505607339437,0.021706505607339437,0.16779099354683433,0.16779099354683433,0.03381497171275194,0.03381497171275194,0.03381497171275194,0.1927547757432221,0.1927547757432221
0.020412414523193187,0.020412414523193187,0.020412414523193187,0.15679073101855648,0.15679073101855648,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.19364916731037085,0.19364916731037085
0.017149388004133653,0.017149388004133653,0.017149388004133653,0.18478651914713792,0.18478651914713792,0.02843301274912263,0.02843301274912263,0.02843301274912263,0.18364831896531966,0.18364831896531966
0.020412414523193187,0.020412414523193187,0.020412414523193187,0.15679073101855648,0.15679073101855648,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.19364916731037085,0.19364916731037085
0.00011806062419534812,0.0003949985416700426,3.319677145734566e-05,2.459231880820585e-05,0.0004921290844842015,8.048525339077763e-06,0.00018095430484208182,0.0004038837865132555,3.413967575010061e-06,0.0004872593440012502
