Porcentagem 0,Porcentagem 10,Porcentagem 20,Porcentagem 30
0.7718103264697692,0.7718103264697692,0.6794048847609219,0.6794048847609219
0.775,0.775,0.6916666666666667,0.6916666666666667
0.7852549302549303,0.7852549302549303,0.7056998556998557,0.7056998556998557
0.775,0.775,0.6916666666666667,0.6916666666666667
0.0011014938354492188,0.0009879589080810547,0.001022195816040039,0.0011000633239746094
0.058897499176512644,0.058897499176512644,0.01828437308477978,0.01828437308477978
0.05651941652604389,0.05651941652604389,0.033333333333333354,0.033333333333333354
0.051434305145733716,0.051434305145733716,0.058840073410644365,0.058840073410644365
0.05651941652604389,0.05651941652604389,0.033333333333333354,0.033333333333333354
0.00021064153955847626,1.0576114877285683e-05,4.6533199206604246e-05,0.0002017953219955814
